Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2, B3, B4",SMD4_SW_EVQP7J_PAN,4,EVQP7J01P,C2828254
"C1, C7",0603,2,100nF,C14663
"C10, C8, C9",0805,3,22uF,C45783
"C11, C3, C4",0805,3,10uF,C15850
"C2, C6",0603,2,10uF,C19702
C5,0603,1,10uF,C96446
"D1, D2, D3, D4",0805,4,SD0805S020S1R0,C143773
D5,0603,1,LED,C2286
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BATT.,C295747
L1,L_Sunlord_SWPA4020S,1,1.5uH,C98360
"R1, R2",0603,2,1K,C21190
R10,0805,1,0.05-1%,C5141277
"R11, R4, R5, R6, R8, R9",0603,6,8K2,C25981
"R12, R13, R14, R3, R7",0603,5,2.2K,C4190
SW3,Switch_SK12D07VG4,1,SK12D07L4B,C480340
U1,SOT-23-5_HandSoldering,1,RY2201,C370889
U2,SOT-23-5,1,TP4054,C382138
U3,VREG_TPS63070RNMR,1,TPS63070RNMR,C109322
U4,SOT-363_SC-70-6,1,NID5100,C40065155
U5,SOT-23-5,1,INA180A2,C192764
X5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,QWIIC,C160404
