Designator,Mid X,Mid Y,Rotation,Layer
B1,91.1682,-149.0251,90,bottom
B2,91.1682,-158.0251,90,bottom
B3,123.8682,-149.0251,270,bottom
B4,123.8682,-158.0251,270,bottom
C1,121.2682,-125.5251,90,bottom
C10,114.9682,-159.5251,180,bottom
C11,95.4682,-122.5251,0,bottom
C2,118.2682,-130.6251,90,bottom
C3,119.8682,-148.0251,0,bottom
C4,120.8432,-152.1751,270,bottom
C5,120.6682,-155.8251,90,bottom
C6,113.7182,-154.5751,180,bottom
C7,117.7182,-160.2001,270,bottom
C8,114.9682,-163.9251,180,bottom
C9,114.9682,-161.7251,180,bottom
D1,117.8307,-136.4251,0,bottom
D2,117.8682,-138.6251,0,bottom
D3,117.8682,-140.8251,0,bottom
D4,117.8682,-143.0251,0,bottom
D5,116.5682,-134.3251,0,bottom
J2,117.826018,-119.435005,270,bottom
L1,117.3932,-151.5626,0,bottom
R1,123.8682,-125.5251,90,bottom
R10,96.5807,-162.2751,0,bottom
R11,97.7932,-149.0751,0,bottom
R12,94.5932,-149.0751,0,bottom
R13,91.0807,-118.7251,0,bottom
R14,91.0682,-121.5251,0,bottom
R2,116.0682,-130.6251,270,bottom
R3,120.3682,-130.6251,90,bottom
R4,121.0682,-160.1251,270,bottom
R5,121.0682,-163.3251,90,bottom
R6,113.7432,-156.5751,180,bottom
R7,117.6682,-163.4251,270,bottom
R8,98.6682,-153.9251,90,bottom
R9,93.9182,-152.5501,270,bottom
SW3,124.0982,-139.6251,270,bottom
U1,117.0682,-127.0251,180,bottom
U2,123.8682,-131.3251,180,bottom
U3,117.3432,-155.6126,90,bottom
U4,96.2557,-153.3751,180,bottom
U5,96.5682,-159.3751,180,bottom
U6,102.392,-134,270,bottom
X5,96.9682,-117.5001,180,bottom
