Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2, B3, B4",SMD4_SW_EVQP7J_PAN,4,EVQP7J01P,C2828254
"C1, C5, C6",0603,3,100nF,C14663
"C2, C7",0603,2,10uF,C19702
"C3, C4",0805,2,47uF,C16780
D1,0603,1,LED,C2286
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BAT-L,C295747
L1,L_Sunlord_SWPA4020S,1,2.2uH,C206341
"R1, R15, R18, R4, R5, R6, R7",0603,7,1K,C21190
R10,0603,1,0,C21189
R12,0603,1,1.2M,C22766
R13,0603,1,210K,C50670454
"R14, R16",0603,2,8K2,C25981
R17,0805,1,0.05-1%,C5141277
"R19, R20, R3",0603,3,4K7,C23162
R2,0603,1,1K2,C22765
"R8, R9",0603,2,2K2,C4190
SW3,Switch_SK12D07VG4,1,SK12D07L4B,C480340
U1,SOT-23-5_HandSoldering,1,RY2201,C370889
U2,SOT-23-5,1,TP4054,C32574
"U3, U4, U5, U6, U8",SOT-363_SC-70-6,5,LM66100DCK,C2869734
U7,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,C140320
U9,SOT-23-5,1,INA180A2,C48533471
X4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,QWIIC,C160404
