Designator,Mid X,Mid Y,Rotation,Layer
B1,90.8682,-149.0251,90,bottom
B2,90.8682,-158.0251,90,bottom
B3,124.1682,-158.0251,270,bottom
B4,124.1682,-149.0251,270,bottom
C1,120.8682,-125.5251,90,bottom
C2,118.2682,-130.6251,90,bottom
C3,121.4682,-156.7751,270,bottom
C4,115.1682,-156.7751,270,bottom
C5,119.2682,-161.4251,180,bottom
C6,91.5432,-153.8751,0,bottom
C7,95.4682,-122.5251,0,bottom
D1,124.8682,-125.5251,90,bottom
J2,118.1862,-119.435005,270,bottom
L1,119.8182,-152.7751,180,bottom
R1,122.5682,-125.5251,90,bottom
R10,121.6682,-162.1751,270,bottom
R12,113.7182,-162.1251,270,bottom
R13,116.0682,-162.9251,180,bottom
R14,96.2182,-155.3251,180,bottom
R15,100.1182,-155.3251,0,bottom
R16,93.9182,-152.5501,270,bottom
R17,96.5807,-162.2751,0,bottom
R18,93.4182,-159.2251,270,bottom
R19,91.0807,-118.7251,0,bottom
R2,116.0682,-130.6251,90,bottom
R20,91.0682,-121.5251,0,bottom
R3,120.3682,-130.6251,90,bottom
R4,119.8682,-136.343767,180,bottom
R5,119.7682,-140.3251,180,bottom
R6,119.6932,-144.306434,180,bottom
R7,119.7102,-148.287767,180,bottom
R8,97.7932,-149.0751,0,bottom
R9,94.5932,-149.0751,0,bottom
SW3,124.0982,-139.6251,270,bottom
U1,117.0682,-127.0251,180,bottom
U2,123.8682,-131.3251,180,bottom
U3,116.7137,-136.343767,180,bottom
U4,116.6622,-140.3251,180,bottom
U5,116.6452,-144.306434,180,bottom
U6,116.6622,-148.287767,180,bottom
U7,118.3182,-157.7251,270,bottom
U8,96.2557,-153.3751,180,bottom
U9,96.5682,-159.3751,180,bottom
X4,96.9682,-117.5001,180,bottom
